name,url,score,ratings,Brewery,ABV,IBU
Oatmeal Stout,/beer/profile/113/571/,4.21,"6,749",Samuel Smith Old Brewery (Tadcaster),5.00,No IBU
Double Bastard Ale,/beer/profile/43153/1056/,4.26,"6,746",Arrogant Brewing,11.00,No IBU
DirtWolf,/beer/profile/345/99873/,4.28,"6,692",Victory Brewing Company - Downingtown,8.70,No IBU
Parabola,/beer/profile/2210/41815/,4.61,"6,672",Firestone Walker Brewing Co.,14.00,No IBU
Punkin Ale,/beer/profile/64/6260/,3.93,"6,645",Dogfish Head Craft Brewery,7.00,28
Burton Baton,/beer/profile/64/18862/,4.23,"6,638",Dogfish Head Craft Brewery,10.00,70
Ayinger Celebrator Doppelbock,/beer/profile/39/131/,4.34,"6,599",Privatbrauerei Franz Inselkammer KG / Brauerei Aying,6.70,No IBU
Alpha King,/beer/profile/26/39/,4.25,"6,577",3 Floyds Brewing Co.,6.66,68
Yuengling Traditional Lager,/beer/profile/182/1351/,3.41,"6,573",Yuengling Brewery,4.50,No IBU
Edmund Fitzgerald Porter,/beer/profile/73/226/,4.24,"6,553",Great Lakes Brewing Co.,6.00,37
Three Philosophers Belgian Style Blend (Quadrupel),/beer/profile/42/3457/,4.15,"6,525",Brewery Ommegang,9.70,No IBU
Trappist Westvleteren 12 (XII),/beer/profile/313/1545/,4.6,"6,472",Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),10.20,No IBU
Supplication,/beer/profile/863/22227/,4.56,"6,442",Russian River Brewing Company,7.00,No IBU
Double Trouble,/beer/profile/1199/34146/,4.2,"6,439",Founders Brewing Company,9.40,86
Budweiser,/beer/profile/29/65/,2.36,"6,345",Anheuser-Busch,5.00,No IBU
Sierra Nevada Hoptimum Imperial IPA,/beer/profile/140/55939/,4.18,"6,326",Sierra Nevada Brewing Co.,9.60,100
Expedition Stout,/beer/profile/287/1444/,4.26,"6,298",Bell's Brewery - Eccentric Café & General Store,10.50,No IBU
Black Butte Porter,/beer/profile/63/198/,4.18,"6,258",Deschutes Brewery,5.20,No IBU
Bomb!,/beer/profile/30356/94350/,4.5,"6,182",Prairie Artisan Ales,13.00,No IBU
Indian Brown Ale,/beer/profile/64/1161/,4.1,"6,171",Dogfish Head Craft Brewery,7.20,50
Grapefruit Sculpin,/beer/profile/199/89174/,4.32,"6,118",Ballast Point Brewing Company,7.00,No IBU
Dreadnaught IPA,/beer/profile/26/1558/,4.4,"6,066",3 Floyds Brewing Co.,9.50,100
Hennepin (Farmhouse Saison),/beer/profile/42/141/,4.15,"6,063",Brewery Ommegang,7.70,No IBU
Samuel Adams Winter Lager,/beer/profile/35/101/,3.59,"6,051",Boston Beer Company (Samuel Adams),5.60,No IBU
Anchor Steam Beer,/beer/profile/28/63/,3.85,"6,049",Anchor Brewing Company,4.90,No IBU
Bud Light,/beer/profile/29/1320/,1.86,"6,039",Anheuser-Busch,4.20,No IBU
Dragon's Milk,/beer/profile/335/5428/,4.04,"6,032",New Holland Brewing Company,11.00,No IBU
Storm King Stout,/beer/profile/345/1013/,4.05,"5,977",Victory Brewing Company - Downingtown,9.10,No IBU
Ranger,/beer/profile/192/55081/,3.77,"5,971",New Belgium Brewing,6.50,70
Sublimely Self-Righteous Black IPA,/beer/profile/147/38470/,4.22,"5,935",Stone Brewing,8.70,No IBU
Gumballhead,/beer/profile/26/9478/,4.2,"5,927",3 Floyds Brewing Co.,5.60,35
Palo Santo Marron,/beer/profile/64/33832/,4.18,"5,920",Dogfish Head Craft Brewery,12.00,50
Delirium Tremens,/beer/profile/180/1385/,4.13,"5,877",Brouwerij Huyghe,8.50,No IBU
RuinTen Triple IPA,/beer/profile/147/82250/,4.3,"5,844",Stone Brewing,10.80,No IBU
Blind Pig IPA,/beer/profile/863/22790/,4.36,"5,827",Russian River Brewing Company,6.10,No IBU
Young's Double Chocolate Stout,/beer/profile/664/73/,4.02,"5,826",Wells & Young's Ltd,5.20,No IBU
Brown Shugga',/beer/profile/220/2264/,4.03,"5,808",Lagunitas Brewing Company,10.00,No IBU
#9,/beer/profile/96/299/,3.39,"5,761",Magic Hat Brewing Company,5.10,20
Golden Monkey,/beer/profile/345/1003/,3.72,"5,758",Victory Brewing Company - Downingtown,9.50,No IBU
Pabst Blue Ribbon (PBR),/beer/profile/447/1331/,2.93,"5,716",Pabst Brewing Company,4.74,No IBU
Maharaja,/beer/profile/30/22352/,4.23,"5,680",Avery Brewing Company,10.20,102
Furious,/beer/profile/13014/28203/,4.29,"5,608",Surly Brewing Company,6.60,No IBU
Samuel Adams Summer Ale,/beer/profile/35/103/,3.33,"5,605",Boston Beer Company (Samuel Adams),5.30,No IBU
Maximus,/beer/profile/220/1372/,3.99,"5,584",Lagunitas Brewing Company,8.20,No IBU
Yeti Imperial Stout,/beer/profile/158/12013/,4.21,"5,543",Great Divide Brewing Company,9.50,No IBU
Stella Artois,/beer/profile/169/449/,3.09,"5,467",Stella Artois,5.00,No IBU
Orval Trappist Ale,/beer/profile/37/129/,4.2,"5,467",Brasserie d'Orval S.A.,6.20,No IBU
Goose IPA,/beer/profile/1146/3968/,3.71,"5,435",Goose Island Beer Co.,5.90,55
White,/beer/profile/4/59/,4.16,"5,404",Allagash Brewing Company,5.10,No IBU
Consecration,/beer/profile/863/45653/,4.49,"5,387",Russian River Brewing Company,10.00,No IBU
CBS (Canadian Breakfast Stout),/beer/profile/1199/47658/,4.66,"5,370",Founders Brewing Company,11.70,No IBU
Trappistes Rochefort 8,/beer/profile/207/1696/,4.33,"5,367",Brasserie de Rochefort,9.20,No IBU
Hoegaarden Original White Ale,/beer/profile/83/248/,3.78,"5,362",Brouwerij van Hoegaarden,4.90,No IBU
Flower Power India Pale Ale,/beer/profile/651/6076/,4.22,"5,347",Ithaca Beer Company,7.20,No IBU
Bourbon County Brand Barleywine Ale,/beer/profile/1146/100421/,4.52,"5,346",Goose Island Beer Co.,14.40,No IBU
"Smuttynose IPA ""Finest Kind""",/beer/profile/141/16403/,4.1,"5,337",Smuttynose Brewing Company,6.90,75
Lunch,/beer/profile/20681/68916/,4.39,"5,313",Maine Beer Company,7.00,No IBU
