whiskey,url,age,bottler,price,average_rating,personal_rating
Bowmore 2002 The Last Red Indian Chief,http://www.lawhiskeysociety.com/whiskey-profile/3724/Bowmore-2002-The-Last-Red-Indian-Chief,N/A,Jack Wieber's Whisky World,$70 ,B,B
Braes of Glenlivet 1989 Duncan Taylor Cask 1070,http://www.lawhiskeysociety.com/whiskey-profile/3468/Braes-of-Glenlivet-1989-Duncan-Taylor-Cask-1070,18 yrs,Duncan Taylor,$140 ,B-,C+
Bruichladdich 1990 Signatory Vintage (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3482/Bruichladdich-1990-Signatory-Vintage-(for-K-and-L),23 yrs,OB,$160 ,B,B-
Bruichladdich Cuvee 382,http://www.lawhiskeysociety.com/whiskey-profile/3932/Bruichladdich-Cuvee-382,N/A,OB,$200 ,B,B
Bunnahabhain 1973 Archives,http://www.lawhiskeysociety.com/whiskey-profile/3362/Bunnahabhain-1973-Archives,40 yrs,Archives,$270 ,B,B
Bunnahabhain 1990 Nectar of the Daily Drams,http://www.lawhiskeysociety.com/whiskey-profile/3865/Bunnahabhain-1990-Nectar-of-the-Daily-Drams,23 yrs,Nectar,$150 ,B,B
Cadenhead Creations 20yr Batch 1,http://www.lawhiskeysociety.com/whiskey-profile/3196/Cadenhead-Creations-20yr-Batch-1,20 yrs,Cadenhead,$99 ,C+,C+
California Moonshine,http://www.lawhiskeysociety.com/whiskey-profile/3267/California-Moonshine,N/A,Fog's End Distillery,$25 ,D,D
Caol Ila 1983 Frisky Whisky,http://www.lawhiskeysociety.com/whiskey-profile/3680/Caol-Ila-1983-Frisky-Whisky,27 yrs,Frisky Whisky,$150 ,B+,B+
Caol Ila 1983 Signatory (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3555/Caol-Ila-1983-Signatory-(for-K-and-L),30 yrs,Signatory,$300 ,B,B
Caol Ila 1983 Signatory CS Cask #5286,http://www.lawhiskeysociety.com/whiskey-profile/3481/Caol-Ila-1983-Signatory-CS-Cask-number5286,30 yrs,Signatory,$450 ,B,B
Caol Ila 1984 Cadenhead's,http://www.lawhiskeysociety.com/whiskey-profile/3782/Caol-Ila-1984-Cadenheads,31 yrs,Cadenhead's,$200 ,B+,A-
Caol Ila 1990 Murray McDavid Mission,http://www.lawhiskeysociety.com/whiskey-profile/3184/Caol-Ila-1990-Murray-McDavid-Mission,21 yrs,Murray McDavid,$115 ,B,B-
Caol Ila 1991 Single Malts of Scotland,http://www.lawhiskeysociety.com/whiskey-profile/3654/Caol-Ila-1991-Single-Malts-of-Scotland,15 yrs,Specialty Drinks Ltd.,$80 ,B,B
Caol Ila 1995 Old Masters,http://www.lawhiskeysociety.com/whiskey-profile/3392/Caol-Ila-1995-Old-Masters,14 yrs,James MacArthur's,$100 ,B,B
Caol Ila 1996 Montgomerie's Rare Select,http://www.lawhiskeysociety.com/whiskey-profile/3923/Caol-Ila-1996-Montgomeries-Rare-Select,20 yrs,Montgomerie and Co.,$125 ,B,B
Caol Ila 2006 Carn Mor,http://www.lawhiskeysociety.com/whiskey-profile/3925/Caol-Ila-2006-Carn-Mor,8 yrs,Morrison & Mackay Whisky Merchants,$50 ,B,B
Caol Ila 2008 Hepburn's Choice,http://www.lawhiskeysociety.com/whiskey-profile/3396/Caol-Ila-2008-Hepburns-Choice,5 yrs,Hunter Laing,$50 ,B,B+
Cardhu 12,http://www.lawhiskeysociety.com/whiskey-profile/3524/Cardhu-12-,12 yrs,OB,$50 ,C,C
Chichibu Chibidaru for La Maison du Whisky,http://www.lawhiskeysociety.com/whiskey-profile/3252/Chichibu-Chibidaru-for-La-Maison-du-Whisky,N/A,OB,$180 ,B-,B+
Chichibu The First 2008 (non-USA),http://www.lawhiskeysociety.com/whiskey-profile/3188/Chichibu-The-First-2008-(non-USA),N/A,OB,$150 ,B-,B+
Chichibu The First Aged 3 years (US),http://www.lawhiskeysociety.com/whiskey-profile/3187/Chichibu-The-First-Aged-3-years-(US),3 yrs,N/A,$200 ,B-,B
Clynelish 1995 Signatory CS for TWE,http://www.lawhiskeysociety.com/whiskey-profile/3639/Clynelish-1995-Signatory-CS-for-TWE,17 yrs,Signatory,$110 ,B-,B
Clynelish 2008 Signatory Vintage for Binny's,http://www.lawhiskeysociety.com/whiskey-profile/3918/Clynelish-2008-Signatory-Vintage-for-Binnys,7 yrs,Signatory,$50 ,B,B
Colorado Straight Bourbon Batch 50,http://www.lawhiskeysociety.com/whiskey-profile/3804/Colorado-Straight-Bourbon-Batch-50,2 yrs,OB,$70 ,B,B
Compass Box 5th and Harrison,http://www.lawhiskeysociety.com/whiskey-profile/3847/Compass-Box-5th-and-Harrison,N/A,Compass Box,$180 ,B,B
Compass Box The Lost Blend,http://www.lawhiskeysociety.com/whiskey-profile/3512/Compass-Box-The-Lost-Blend,N/A,N/A,$120 ,B,B
Connemara 22yr,http://www.lawhiskeysociety.com/whiskey-profile/3866/Connemara-22yr,22 yrs,OB,$165 ,B,B
"Corsair ""Buck Yeah"" American Whiskey",http://www.lawhiskeysociety.com/whiskey-profile/3454/Corsair-Buck-Yeah-American-Whiskey,N/A,Corsair,$65 ,B-,B-
Corsair Citra Double IPA,http://www.lawhiskeysociety.com/whiskey-profile/3740/Corsair-Citra-Double-IPA,N/A,OB,$65 ,B,B
Corsair Mosaic,http://www.lawhiskeysociety.com/whiskey-profile/3457/Corsair-Mosaic,N/A,Corsair,$55 ,B+,B
Corsair Oatrage Oat Whiskey,http://www.lawhiskeysociety.com/whiskey-profile/3456/Corsair-Oatrage-Oat-Whiskey,N/A,Corsair,$55 ,C+,C
Corsair Ryemageddon American Rye Whiskey,http://www.lawhiskeysociety.com/whiskey-profile/3455/Corsair-Ryemageddon-American-Rye-Whiskey,N/A,Corsair,$50 ,B,B
Corti Brothers Exquisite Whiskey,http://www.lawhiskeysociety.com/whiskey-profile/3194/Corti-Brothers-Exquisite-Whiskey,7 yrs,Amador Distillery,$50 ,C+,C-
Cragganmore 1989 Faultline (for k&l),http://www.lawhiskeysociety.com/whiskey-profile/3290/Cragganmore-1989-Faultline-(for-k-and-l),23 yrs,Faultline,$110 ,C-,C-
Craigellachie 13,http://www.lawhiskeysociety.com/whiskey-profile/3908/Craigellachie-13,13 yrs,OB,$50 ,B,B
Craigellachie 1995 Hepburn's Choice,http://www.lawhiskeysociety.com/whiskey-profile/3400/Craigellachie-1995-Hepburns-Choice,18 yrs,Hunter Laing,$100 ,B-,B
